,Datum,1 den,7 dní,14 dní,1 měsíc,2 měsíce,3 měsíce,6 měsíců,9 měsíců,1 rok
0,1992-04-22,5.56,7.19,6.94,8.56,8.63,8.0,9.75,,8.69
1,1992-04-23,5.5,7.31,6.31,8.0,8.13,7.44,9.44,,8.44
2,1992-04-24,4.5,6.5,5.25,7.13,5.5,7.44,7.06,8.75,
3,1992-04-27,5.63,7.0,7.5,8.88,8.38,9.5,11.13,,
4,1992-04-28,4.13,5.69,5.19,6.94,7.13,7.0,8.69,,7.81
5,1992-04-29,6.5,7.25,7.56,9.25,8.56,9.63,11.13,,
6,1992-04-30,5.0,6.63,5.81,7.31,5.94,7.56,6.88,8.69,
7,1992-05-04,5.13,6.63,6.38,7.88,6.94,8.5,7.88,9.38,
8,1992-05-05,5.0,6.88,6.19,7.81,6.19,8.06,7.88,9.5,
9,1992-05-06,7.19,7.88,8.44,9.19,9.0,10.5,12.5,,
10,1992-05-07,7.38,8.0,8.38,9.25,8.88,10.5,12.5,,
11,1992-05-11,5.5,7.63,6.25,7.88,8.44,7.88,9.44,,9.0
12,1992-05-12,5.75,7.75,6.81,8.69,7.31,9.19,8.38,10.25,
13,1992-05-13,7.69,8.38,8.81,10.44,9.56,10.56,11.5,,
14,1992-05-14,7.69,8.38,8.88,10.19,9.25,10.56,11.5,,
15,1992-05-15,7.31,8.0,8.63,10.25,9.56,10.69,10.5,,
16,1992-05-18,7.13,8.0,8.63,10.06,9.5,10.44,10.5,,
17,1992-05-19,6.44,7.75,8.06,9.56,9.5,10.38,10.75,,
18,1992-05-20,6.69,7.56,8.06,9.63,9.38,10.38,11.19,,
19,1992-05-21,6.75,7.63,8.0,9.88,9.56,10.38,10.5,,
20,1992-05-22,7.06,8.06,8.13,9.88,9.56,10.44,11.25,,
21,1992-05-25,6.44,7.69,8.06,9.81,9.25,10.38,11.25,,
22,1992-05-26,3.06,5.38,5.0,6.5,5.75,7.19,7.31,8.88,
23,1992-05-27,2.88,5.19,4.38,6.44,5.69,7.25,7.5,9.19,
24,1992-05-28,4.56,5.5,6.44,8.38,9.0,10.5,11.19,,
25,1992-05-29,4.0,5.13,6.81,5.69,6.88,7.5,8.69,,9.56
26,1992-06-01,5.0,6.38,7.0,8.81,9.5,10.81,11.5,,
27,1992-06-02,5.63,6.75,7.13,8.81,9.19,10.56,11.63,,
28,1992-06-03,5.44,6.56,7.31,8.63,9.25,10.44,11.19,,
29,1992-06-04,5.56,6.25,6.88,8.44,9.38,10.5,11.19,,
30,1992-06-05,3.56,5.13,5.13,6.56,5.81,7.13,7.5,8.63,
31,1992-06-08,5.44,6.5,7.63,8.5,8.75,10.0,11.5,,
32,1992-06-09,4.69,6.31,7.31,8.44,8.94,10.25,11.13,,
33,1992-06-10,4.88,6.19,6.69,8.94,9.0,10.13,11.25,,
34,1992-06-11,5.31,6.69,7.63,9.13,9.13,10.38,11.44,,
35,1992-06-12,5.31,7.13,7.81,9.38,9.13,10.31,11.31,,
36,1992-06-15,5.5,7.06,7.88,9.31,9.13,10.25,11.44,,
37,1992-06-16,5.5,7.31,7.94,9.44,9.13,10.31,12.06,,
38,1992-06-17,5.56,7.63,8.44,9.56,9.31,10.5,12.06,,
39,1992-06-18,5.75,7.44,8.5,9.25,9.13,10.06,11.25,,
40,1992-06-19,6.06,7.81,8.63,9.5,9.38,10.44,12.13,,
41,1992-06-22,6.25,7.63,8.5,9.44,9.31,10.31,12.19,,
42,1992-06-23,6.81,8.0,8.75,9.69,9.13,10.56,12.31,,
43,1992-06-24,6.69,7.94,8.5,9.5,9.31,10.44,12.06,,
44,1992-06-25,6.75,8.19,8.56,9.5,9.19,10.25,12.13,,
45,1992-06-26,7.63,8.81,9.31,10.13,9.44,10.56,11.88,,
46,1992-06-29,7.94,8.94,9.38,10.19,9.88,10.81,11.81,,
47,1992-06-30,7.13,8.44,8.88,10.19,9.56,10.75,11.56,,
48,1992-07-01,7.5,8.63,8.88,10.38,9.94,10.81,11.81,,
49,1992-07-02,7.06,8.63,9.06,10.19,9.88,10.81,11.94,,
50,1992-07-03,7.19,8.56,9.0,10.19,9.81,10.63,12.0,,
51,1992-07-07,7.44,8.56,9.13,10.31,9.81,11.0,12.0,,
52,1992-07-08,7.5,8.56,8.94,10.5,9.88,10.69,11.19,,
53,1992-07-09,7.75,9.0,9.44,10.69,10.06,10.75,11.31,,
54,1992-07-10,8.63,9.69,10.06,10.88,10.19,10.94,11.5,,
55,1992-07-13,8.63,10.19,10.25,11.19,10.38,11.06,11.5,,
56,1992-07-14,8.63,10.5,10.69,11.44,10.38,11.06,11.69,,
57,1992-07-15,9.0,10.44,10.75,11.44,10.69,11.31,11.56,,
58,1992-07-16,8.63,10.19,10.5,11.06,10.38,11.13,11.5,,
59,1992-07-17,8.75,10.31,10.63,11.19,10.31,11.13,11.56,,
60,1992-07-20,8.69,9.88,10.19,11.0,10.31,10.88,11.56,,
61,1992-07-21,8.88,10.13,10.5,11.13,10.31,10.88,11.75,,
62,1992-07-22,9.25,10.31,10.56,11.19,10.63,11.06,11.63,,
63,1992-07-23,9.56,10.75,11.13,11.63,10.63,10.94,11.56,,
64,1992-07-24,9.94,11.0,11.31,11.81,10.88,11.13,11.56,,
65,1992-07-27,10.5,11.44,11.69,12.25,11.06,11.44,12.0,,
66,1992-07-28,10.31,11.25,11.63,12.31,11.13,11.44,11.88,,
67,1992-07-29,10.13,11.0,11.44,12.06,10.81,11.13,11.63,,
